File Name,Date,method,Notes
HeLa_171105_Sgr_1,171105,43ii_abrf-like_Top20_CID-HCD,"Test RT stability, Thermo column, Thermo nanoTrap"
HeLa_171105_Sgr_2,171105,43ii_abrf-like_Top20_CID-HCD,"Test RT stability, Thermo column, Thermo nanoTrap"
HeLa_171105_Sgr_3,171105,43ii_abrf-like_Top20_CID-HCD,"Test RT stability, Thermo column, Thermo nanoTrap"
HeLa_171105_Sgr_4,171105,43ii_abrf-like_Top20_CID-HCD,"Test RT stability, Thermo column, Thermo nanoTrap"
HeLa_171105_Sgr_5,171105,43ii_abrf-like_Top20_CID-HCD,"Test RT stability, Thermo column, Thermo nanoTrap"
HeLa_171108_Sgr_r1,171108,43ii_abrf-like_Top20_CID-HCD,"...Waters column, Themo trap"
HeLa_171108_Sgr_r2,171108,43ii_abrf-like_Top20_CID-HCD,...repeat with new tip and sleeve
HeLa_171108_Sgr_r3,171108,43ii_abrf-like_Top20_CID-HCD,...repeat with new tip and sleeve
HeLa_171108_Sgr_r4,171108,43ii_abrf-like_Top20_CID-HCD,...tonight (Frank)
HeLa_171108_Sgr_r5,171108,43ii_abrf-like_Top20_CID-HCD,...tonight (Frank)
HeLa_171108_Sgr_r6,171108,43ii_abrf-like_Top20_CID-HCD,...tonight (Frank)
HeLa_171108_Sgr_r6,171108,43ii_abrf-like_Top20_CID-HCD,...
HeLa_171108_Sgr_r7,171108,43ii_abrf-like_Top20_CID-HCD,...
HeLa_171110_Lgr_r1,171110,36_Waters_Top20_CID-HCD_AGC1e4-35ms_5B,...
HeLa_171110_Sgr_r2,171110,36_Waters_Top20_CID-HCD_AGC1e4-35ms_5B,...
HeLa_171110_Slgr_r3,171110,36_Waters_Top20_CID-HCD_AGC1e4-35ms_5B,...
HeLa_171110_Lgr_r4,171110,43ii_abrf-like_Top20_CID-HCD,...
HeLa_171110_Sgr_r5,171110,43ii_abrf-like_Top20_CID-HCD,...
HeLa_171110_Slgr_r6,171110,43ii_abrf-like_Top20_CID-HCD,...
HeLa_171110_Lgr_r7,171110,43iii_abrf-like_Top20_CID-HCD,...
